split,RMSE,MAE,n,model
train,3.281726505621398,2.6203398185287377,22349,climatology
val,3.400761715240869,2.6653850602658307,2111,climatology
test,3.6240458098484707,2.8053876517580254,1864,climatology
train,3.159074920198177,2.4487225379211592,22349,persistence
val,3.1977794581261905,2.49336807200379,2111,persistence
test,3.3362201376508342,2.527360515021459,1864,persistence
train,2.7665075736075075,2.190209419744437,22349,ridge
val,2.7709657855719048,2.1825648863315443,2111,ridge
test,2.929491463994848,2.271373400251037,1864,ridge
